dp2_transform_gold | dp2_proof2_1784650150                | success | 2026-07-21T16:09:13+00:00 | 2026-07-21T16:09:14.384210+00:00 | 2026-07-21T16:14:27.256700+00:00
dag_id             | execution_date            | task_id                           | state   | start_date                       | end_date                        
dp2_transform_gold | 2026-07-21T16:09:13+00:00 | start                             | success | 2026-07-21T16:09:14.406997+00:00 | 2026-07-21T16:09:14.407002+00:00
dp2_transform_gold | 2026-07-21T16:09:13+00:00 | validate_stage.validate_gold      | success | 2026-07-21T16:14:25.935244+00:00 | 2026-07-21T16:14:26.945287+00:00
dp2_transform_gold | 2026-07-21T16:09:13+00:00 | ingest_stage.build_lakehouse_gold | success | 2026-07-21T16:11:18.925522+00:00 | 2026-07-21T16:14:05.005205+00:00
dp2_transform_gold | 2026-07-21T16:09:13+00:00 | ingest_stage.prepare_postgres     | success | 2026-07-21T16:09:17.032781+00:00 | 2026-07-21T16:09:17.937894+00:00
dp2_transform_gold | 2026-07-21T16:09:13+00:00 | ingest_stage.refresh_trino        | success | 2026-07-21T16:14:06.871784+00:00 | 2026-07-21T16:14:21.818144+00:00
dp2_transform_gold | 2026-07-21T16:09:13+00:00 | ingest_stage.add_pg_constraints   | success | 2026-07-21T16:14:06.878829+00:00 | 2026-07-21T16:14:24.101439+00:00
dp2_transform_gold | 2026-07-21T16:09:13+00:00 | end                               | success | 2026-07-21T16:14:27.138038+00:00 | 2026-07-21T16:14:27.138045+00:00
